date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2020-10-14,Tunisia,Scotland,0,2,CONCACAF Gold Cup,Tunisia City,Tunisia,False
2020-10-15,South Korea,Brazil,1,2,Copa America,South Korea City,South Korea,False
2020-10-16,Denmark,Costa Rica,1,1,AFC Asian Cup,Denmark City,Denmark,False
2020-10-21,Egypt,Wales,1,0,AFC Asian Cup,Doha,Qatar,False
2020-10-22,Iran,Uruguay,2,2,FIFA World Cup qualification,Iran City,Iran,False
2020-10-23,Sweden,Canada,0,0,UEFA Nations League,Sweden City,Sweden,False
2020-10-28,Nigeria,France,0,2,AFC Asian Cup,Doha,Qatar,True
2020-10-29,Saudi Arabia,Colombia,0,2,CONCACAF Gold Cup,Saudi Arabia City,Saudi Arabia,True
2020-10-30,Norway,Mexico,0,0,CONCACAF Gold Cup,Norway City,Norway,False
2020-11-04,Ghana,Germany,0,2,AFC Asian Cup,Ghana City,Ghana,False
2020-11-05,Australia,Ecuador,2,1,CONCACAF Gold Cup,Australia City,Australia,True
2020-11-06,Poland,United States,1,1,Copa America,Poland City,Poland,True
2020-11-11,Cameroon,Netherlands,0,0,UEFA Nations League,Doha,Qatar,False
2020-11-12,Qatar,England,0,2,FIFA World Cup qualification,Qatar City,Qatar,True
2020-11-13,Austria,Argentina,2,0,FIFA World Cup qualification,Doha,Qatar,True
2020-11-18,Algeria,Belgium,0,2,UEFA Nations League,Algeria City,Algeria,False
2020-11-19,Iraq,Scotland,0,0,FIFA World Cup qualification,Doha,Qatar,False
2020-11-20,Serbia,Brazil,0,0,Copa America,Serbia City,Serbia,False
2020-11-25,Japan,Croatia,0,0,Friendly,Japan City,Japan,False
2020-11-26,Uzbekistan,Wales,0,0,AFC Asian Cup,Uzbekistan City,Uzbekistan,True
2020-11-27,Turkey,Uruguay,2,1,UEFA Nations League,Turkey City,Turkey,False
2020-12-02,South Korea,Spain,1,1,UEFA Nations League,Doha,Qatar,False
2020-12-03,Denmark,France,1,2,CONCACAF Gold Cup,Denmark City,Denmark,False
2020-12-04,Czech Republic,Colombia,1,2,AFC Asian Cup,Czech Republic City,Czech Republic,True
2021-01-14,Iran,Italy,0,1,AFC Asian Cup,Iran City,Iran,False
2021-01-15,Sweden,Netherlands,0,0,Copa America,Doha,Qatar,False
2021-01-16,Chile,England,0,2,CONCACAF Gold Cup,Chile City,Chile,False
2021-01-21,Saudi Arabia,Switzerland,1,2,AFC Asian Cup,Saudi Arabia City,Saudi Arabia,True
2021-01-22,Norway,Belgium,0,2,African Cup of Nations,Norway City,Norway,False
2021-01-23,Peru,Scotland,0,2,CONCACAF Gold Cup,Doha,Qatar,True
2021-01-28,Australia,Morocco,0,1,CONCACAF Gold Cup,Australia City,Australia,False
2021-01-29,Poland,Croatia,0,0,UEFA Nations League,Poland City,Poland,False
2021-01-30,Paraguay,Wales,0,1,AFC Asian Cup,Paraguay City,Paraguay,False
2021-02-04,Qatar,Senegal,0,1,Friendly,Doha,Qatar,False
2021-02-05,Austria,Spain,0,1,UEFA Nations League,Austria City,Austria,False
2021-02-06,Costa Rica,France,2,1,Friendly,Costa Rica City,Costa Rica,False
2021-02-07,Canada,Germany,0,0,Friendly,Doha,Qatar,True
2021-02-11,Iraq,Tunisia,0,1,Copa America,Iraq City,Iraq,True
2021-02-12,Serbia,Portugal,0,0,FIFA World Cup qualification,Serbia City,Serbia,False
2021-02-14,Mexico,Netherlands,2,3,FIFA World Cup qualification,Mexico City,Mexico,False
2021-02-18,Uzbekistan,Egypt,0,0,AFC Asian Cup,Doha,Qatar,False
2021-02-19,Turkey,Italy,1,1,Copa America,Doha,Qatar,True
2021-02-21,United States,Belgium,2,1,Friendly,Los Angeles,United States,False
2021-02-25,Denmark,Nigeria,0,0,AFC Asian Cup,Denmark City,Denmark,False
2021-02-26,Czech Republic,Switzerland,0,1,Friendly,Doha,Qatar,False
2021-02-28,Argentina,Croatia,1,1,AFC Asian Cup,Buenos Aires,Argentina,True
2021-03-04,Sweden,Ghana,0,2,Friendly,Sweden City,Sweden,False
2021-03-05,Chile,Morocco,2,1,CONCACAF Gold Cup,Doha,Qatar,False
2021-03-07,Brazil,Spain,0,1,AFC Asian Cup,Rio de Janeiro,Brazil,False
2021-03-11,Norway,Cameroon,0,1,UEFA Nations League,Norway City,Norway,False
2021-03-12,Peru,Senegal,1,1,CONCACAF Gold Cup,Peru City,Peru,False
2021-03-14,Uruguay,Portugal,1,0,Friendly,Uruguay City,Uruguay,False
2021-03-18,Poland,Algeria,2,0,CONCACAF Gold Cup,Poland City,Poland,True
2021-03-19,Paraguay,Tunisia,1,1,UEFA Nations League,Paraguay City,Paraguay,True
2021-03-21,Colombia,Italy,1,3,Friendly,Colombia City,Colombia,False
2021-03-25,Austria,Japan,0,1,FIFA World Cup qualification,Austria City,Austria,False
2021-03-26,Costa Rica,Egypt,3,1,African Cup of Nations,Doha,Qatar,False
2021-03-27,Canada,Nigeria,1,1,AFC Asian Cup,Doha,Qatar,True
2021-03-28,Ecuador,Switzerland,0,0,Copa America,Ecuador City,Ecuador,True
2021-04-01,Serbia,South Korea,0,1,CONCACAF Gold Cup,Serbia City,Serbia,False
2021-04-03,Mexico,Ghana,1,0,AFC Asian Cup,Mexico City,Mexico,True
2021-04-04,England,Morocco,2,2,AFC Asian Cup,London,England,False
2021-04-08,Turkey,Iran,1,1,UEFA Nations League,Turkey City,Turkey,False
2021-04-10,United States,Cameroon,2,0,AFC Asian Cup,Los Angeles,United States,False
2021-04-11,Scotland,Senegal,2,0,FIFA World Cup qualification,Scotland City,Scotland,False
2021-04-15,Czech Republic,Saudi Arabia,0,1,Copa America,Czech Republic City,Czech Republic,True
2021-04-17,Argentina,Algeria,2,1,Copa America,Buenos Aires,Argentina,False
2021-04-18,Wales,Tunisia,0,0,AFC Asian Cup,Wales City,Wales,False
2021-04-22,Chile,Australia,0,0,Copa America,Chile City,Chile,False
2021-04-24,Brazil,Japan,1,1,African Cup of Nations,Rio de Janeiro,Brazil,True
2021-04-25,France,Egypt,3,1,AFC Asian Cup,Paris,France,False
2021-04-29,Peru,Qatar,0,1,African Cup of Nations,Doha,Qatar,False
2021-05-01,Uruguay,South Korea,0,1,CONCACAF Gold Cup,Uruguay City,Uruguay,False
2021-05-02,Germany,Nigeria,2,0,FIFA World Cup qualification,Germany City,Germany,False
2021-05-06,Paraguay,Iraq,0,1,FIFA World Cup qualification,Paraguay City,Paraguay,False
2021-05-08,Colombia,Iran,4,1,AFC Asian Cup,Colombia City,Colombia,True
2021-05-09,Netherlands,Ghana,2,0,African Cup of Nations,Netherlands City,Netherlands,False
2021-05-13,Costa Rica,Uzbekistan,3,1,AFC Asian Cup,Costa Rica City,Costa Rica,False
2021-05-14,Canada,Denmark,2,1,CONCACAF Gold Cup,Canada City,Canada,False
2021-05-15,Ecuador,Saudi Arabia,1,0,Copa America,Ecuador City,Ecuador,True
2021-05-16,Belgium,Cameroon,1,1,CONCACAF Gold Cup,Doha,Qatar,False
2021-05-21,Mexico,Sweden,2,0,Copa America,Mexico City,Mexico,True
2021-05-22,England,Australia,3,1,UEFA Nations League,London,England,False
2021-05-23,Croatia,Algeria,1,1,UEFA Nations League,Croatia City,Croatia,True
2021-05-28,United States,Norway,2,0,FIFA World Cup qualification,Los Angeles,United States,False
2021-05-29,Scotland,Qatar,2,1,Copa America,Scotland City,Scotland,False
2021-05-30,Spain,Japan,2,0,AFC Asian Cup,Spain City,Spain,False
2021-06-04,Argentina,Poland,0,0,Copa America,Buenos Aires,Argentina,False
2021-06-05,Wales,Iraq,2,1,Friendly,Wales City,Wales,False
2021-06-06,Portugal,South Korea,3,1,FIFA World Cup qualification,Portugal City,Portugal,False
2021-06-11,Brazil,Austria,1,0,UEFA Nations League,Rio de Janeiro,Brazil,False
2021-06-12,France,Uzbekistan,1,1,AFC Asian Cup,Paris,France,False
2021-06-13,Italy,Iran,1,0,African Cup of Nations,Italy City,Italy,False
2021-06-18,Uruguay,Serbia,1,1,AFC Asian Cup,Uruguay City,Uruguay,True
2021-06-19,Germany,Denmark,0,0,UEFA Nations League,Germany City,Germany,False
2021-06-20,Switzerland,Saudi Arabia,1,0,Copa America,Switzerland City,Switzerland,False
2021-06-25,Colombia,Turkey,0,0,CONCACAF Gold Cup,Doha,Qatar,False
2021-06-26,Netherlands,Sweden,1,0,African Cup of Nations,Netherlands City,Netherlands,False
2021-06-27,Morocco,Australia,4,1,CONCACAF Gold Cup,Morocco City,Morocco,True
2021-07-02,Ecuador,Czech Republic,0,0,Copa America,Ecuador City,Ecuador,True
2021-07-03,Belgium,Norway,3,2,AFC Asian Cup,Belgium City,Belgium,True
2021-07-04,Senegal,Qatar,0,0,AFC Asian Cup,Senegal City,Senegal,True
2021-07-09,England,Chile,2,0,African Cup of Nations,London,England,False
2021-07-10,Croatia,Poland,0,0,Friendly,Croatia City,Croatia,False
2021-07-10,Argentina,Brazil,1,0,Copa America,Rio de Janeiro,Brazil,False
2021-07-11,Tunisia,Iraq,0,0,African Cup of Nations,Tunisia City,Tunisia,False
2021-07-16,Scotland,Peru,1,0,AFC Asian Cup,Scotland City,Scotland,True
2021-07-17,Spain,Austria,1,2,CONCACAF Gold Cup,Spain City,Spain,False
2021-07-18,Egypt,Uzbekistan,1,0,Friendly,Doha,Qatar,False
2021-07-23,Wales,Paraguay,1,0,UEFA Nations League,Wales City,Wales,False
2021-07-24,Portugal,Serbia,1,0,FIFA World Cup qualification,Portugal City,Portugal,True
2021-07-25,Nigeria,Denmark,0,2,CONCACAF Gold Cup,Nigeria City,Nigeria,False
2021-07-30,France,Costa Rica,2,0,FIFA World Cup qualification,Paris,France,True
2021-07-31,Italy,Turkey,1,0,AFC Asian Cup,Italy City,Italy,True
2021-08-01,Ghana,Sweden,2,2,African Cup of Nations,Ghana City,Ghana,False
2021-08-06,Germany,Canada,1,0,AFC Asian Cup,Germany City,Germany,False
2021-08-07,Switzerland,Czech Republic,2,1,Copa America,Switzerland City,Switzerland,False
2021-08-08,Cameroon,Norway,0,2,African Cup of Nations,Cameroon City,Cameroon,False
2021-08-13,Netherlands,Mexico,0,1,CONCACAF Gold Cup,Netherlands City,Netherlands,False
2021-08-14,Morocco,Chile,2,0,Copa America,Morocco City,Morocco,False
2021-08-15,Algeria,Poland,2,1,Copa America,Doha,Qatar,True
2021-08-20,Belgium,United States,0,0,CONCACAF Gold Cup,Doha,Qatar,True
2021-08-21,Senegal,Peru,1,2,CONCACAF Gold Cup,Senegal City,Senegal,True
2021-08-22,Japan,Austria,2,1,FIFA World Cup qualification,Doha,Qatar,False
2021-08-27,Croatia,Argentina,0,3,Copa America,Croatia City,Croatia,False
2021-08-28,Tunisia,Paraguay,2,0,Copa America,Tunisia City,Tunisia,False
2021-08-29,South Korea,Serbia,2,0,CONCACAF Gold Cup,South Korea City,South Korea,False
2021-09-03,Spain,Brazil,0,0,Copa America,Spain City,Spain,True
2021-09-04,Egypt,Costa Rica,2,0,UEFA Nations League,Egypt City,Egypt,False
2021-09-05,Iran,Turkey,1,1,UEFA Nations League,Doha,Qatar,True
2021-09-10,Portugal,Uruguay,1,0,Friendly,Doha,Qatar,False
2021-09-11,Nigeria,Canada,2,1,CONCACAF Gold Cup,Doha,Qatar,True
2021-09-12,Saudi Arabia,Czech Republic,0,0,CONCACAF Gold Cup,Saudi Arabia City,Saudi Arabia,False
2021-09-17,Italy,Colombia,1,1,UEFA Nations League,Italy City,Italy,False
2021-09-18,Ghana,Mexico,0,0,CONCACAF Gold Cup,Doha,Qatar,False
2021-09-19,Australia,Chile,0,0,AFC Asian Cup,Australia City,Australia,False
2021-09-24,Switzerland,Ecuador,1,0,UEFA Nations League,Switzerland City,Switzerland,False
2021-09-25,Cameroon,United States,2,1,Friendly,Doha,Qatar,False
2021-09-26,Qatar,Peru,1,0,Copa America,Qatar City,Qatar,False
2021-10-01,Morocco,England,1,2,African Cup of Nations,Morocco City,Morocco,False
2021-10-02,Algeria,Argentina,0,1,FIFA World Cup qualification,Algeria City,Algeria,True
2021-10-03,Iraq,Paraguay,1,0,Friendly,Iraq City,Iraq,False
2021-10-08,Senegal,Scotland,1,1,AFC Asian Cup,Senegal City,Senegal,True
2021-10-09,Japan,Brazil,0,1,CONCACAF Gold Cup,Japan City,Japan,False
2021-10-10,Uzbekistan,Costa Rica,1,0,CONCACAF Gold Cup,Doha,Qatar,False
2021-10-15,Tunisia,Wales,1,1,UEFA Nations League,Doha,Qatar,True
2021-10-16,South Korea,Uruguay,1,2,AFC Asian Cup,South Korea City,South Korea,False
2021-10-17,Denmark,Canada,0,1,African Cup of Nations,Denmark City,Denmark,False
2021-10-22,Egypt,France,0,1,FIFA World Cup qualification,Egypt City,Egypt,True
2021-10-23,Iran,Colombia,1,0,African Cup of Nations,Iran City,Iran,True
2021-10-24,Sweden,Mexico,0,1,CONCACAF Gold Cup,Sweden City,Sweden,False
2021-10-29,Nigeria,Germany,0,0,Friendly,Doha,Qatar,True
2021-10-30,Saudi Arabia,Ecuador,2,0,UEFA Nations League,Doha,Qatar,False
2021-10-31,Norway,United States,0,0,FIFA World Cup qualification,Norway City,Norway,True
2021-11-05,Ghana,Netherlands,1,0,Copa America,Ghana City,Ghana,False
2021-11-06,Australia,England,1,1,African Cup of Nations,Australia City,Australia,False
2021-11-07,Poland,Argentina,0,1,AFC Asian Cup,Poland City,Poland,False
2021-11-12,Cameroon,Belgium,0,2,FIFA World Cup qualification,Cameroon City,Cameroon,False
2021-11-13,Qatar,Scotland,2,0,Friendly,Qatar City,Qatar,True
2021-11-14,Austria,Brazil,0,2,CONCACAF Gold Cup,Austria City,Austria,False
2021-11-19,Algeria,Croatia,1,1,FIFA World Cup qualification,Algeria City,Algeria,True
2021-11-20,Iraq,Wales,0,1,FIFA World Cup qualification,Iraq City,Iraq,False
2021-11-21,Serbia,Uruguay,0,1,Friendly,Serbia City,Serbia,True
2021-11-26,Japan,Spain,0,1,African Cup of Nations,Japan City,Japan,False
2021-11-27,Uzbekistan,France,0,2,Copa America,Uzbekistan City,Uzbekistan,True
2021-11-28,Turkey,Colombia,0,0,CONCACAF Gold Cup,Turkey City,Turkey,False
2021-12-03,South Korea,Portugal,0,1,CONCACAF Gold Cup,South Korea City,South Korea,False
2021-12-04,Denmark,Germany,0,0,CONCACAF Gold Cup,Doha,Qatar,True
2021-12-05,Czech Republic,Ecuador,1,0,UEFA Nations League,Czech Republic City,Czech Republic,True
2022-01-14,Iran,Switzerland,3,0,African Cup of Nations,Iran City,Iran,False
2022-01-15,Sweden,Belgium,0,1,Friendly,Doha,Qatar,False
2022-01-16,Chile,Scotland,2,1,FIFA World Cup qualification,Chile City,Chile,False
2022-01-21,Saudi Arabia,Morocco,0,1,AFC Asian Cup,Saudi Arabia City,Saudi Arabia,False
2022-01-22,Norway,Croatia,0,1,FIFA World Cup qualification,Norway City,Norway,False
2022-01-23,Peru,Wales,1,0,Copa America,Peru City,Peru,False
2022-01-28,Australia,Senegal,0,1,CONCACAF Gold Cup,Australia City,Australia,True
2022-01-29,Poland,Spain,0,2,AFC Asian Cup,Poland City,Poland,False
2022-01-30,Paraguay,France,0,1,CONCACAF Gold Cup,Paraguay City,Paraguay,True
2022-02-04,Qatar,Tunisia,1,0,Copa America,Qatar City,Qatar,False
2022-02-05,Austria,Portugal,0,0,FIFA World Cup qualification,Austria City,Austria,False
2022-02-06,Costa Rica,Germany,0,1,UEFA Nations League,Costa Rica City,Costa Rica,False
2022-02-07,Canada,Netherlands,1,1,CONCACAF Gold Cup,Canada City,Canada,False
2022-02-11,Iraq,Egypt,0,1,Copa America,Iraq City,Iraq,True
2022-02-12,Serbia,Italy,1,0,FIFA World Cup qualification,Serbia City,Serbia,False
2022-02-14,Mexico,Belgium,0,0,CONCACAF Gold Cup,Mexico City,Mexico,False
2022-02-18,Uzbekistan,Nigeria,0,2,African Cup of Nations,Uzbekistan City,Uzbekistan,False
2022-02-19,Turkey,Switzerland,1,2,FIFA World Cup qualification,Doha,Qatar,False
2022-02-21,United States,Croatia,2,1,AFC Asian Cup,Los Angeles,United States,False
2022-02-25,Denmark,Ghana,1,0,FIFA World Cup qualification,Denmark City,Denmark,False
2022-02-26,Czech Republic,Morocco,1,1,African Cup of Nations,Czech Republic City,Czech Republic,False
2022-02-28,Argentina,Spain,0,0,CONCACAF Gold Cup,Buenos Aires,Argentina,True
2022-03-04,Sweden,Cameroon,1,1,Friendly,Doha,Qatar,False
2022-03-05,Chile,Senegal,0,2,CONCACAF Gold Cup,Doha,Qatar,False
2022-03-07,Brazil,Portugal,0,1,CONCACAF Gold Cup,Rio de Janeiro,Brazil,True
2022-03-11,Norway,Algeria,2,0,Copa America,Norway City,Norway,False
2022-03-12,Peru,Tunisia,1,0,African Cup of Nations,Peru City,Peru,False
2022-03-14,Uruguay,Italy,1,1,African Cup of Nations,Doha,Qatar,False
2022-03-18,Poland,Japan,1,1,AFC Asian Cup,Poland City,Poland,False
2022-03-19,Paraguay,Egypt,0,0,Copa America,Paraguay City,Paraguay,False
2022-03-21,Colombia,Switzerland,1,0,CONCACAF Gold Cup,Colombia City,Colombia,False
2022-03-25,Austria,South Korea,2,1,Friendly,Austria City,Austria,False
2022-03-26,Costa Rica,Nigeria,0,0,Friendly,Costa Rica City,Costa Rica,False
2022-03-27,Canada,Ghana,0,1,Copa America,Canada City,Canada,False
2022-03-28,Ecuador,Morocco,0,2,AFC Asian Cup,Ecuador City,Ecuador,False
2022-04-01,Serbia,Iran,3,1,FIFA World Cup qualification,Serbia City,Serbia,True
2022-04-03,Mexico,Cameroon,3,1,Copa America,Mexico City,Mexico,False
2022-04-04,England,Senegal,2,0,African Cup of Nations,London,England,False
2022-04-08,Turkey,Saudi Arabia,3,1,Friendly,Doha,Qatar,True
2022-04-10,United States,Algeria,2,0,AFC Asian Cup,Los Angeles,United States,False
2022-04-11,Scotland,Tunisia,1,1,Friendly,Scotland City,Scotland,False
2022-04-15,Czech Republic,Australia,0,1,FIFA World Cup qualification,Czech Republic City,Czech Republic,False
2022-04-17,Argentina,Japan,0,1,Copa America,Buenos Aires,Argentina,False
2022-04-18,Wales,Egypt,0,0,AFC Asian Cup,Wales City,Wales,True
2022-04-22,Chile,Qatar,1,0,CONCACAF Gold Cup,Chile City,Chile,False
2022-04-24,Brazil,South Korea,3,0,AFC Asian Cup,Rio de Janeiro,Brazil,True
2022-04-25,France,Nigeria,0,0,CONCACAF Gold Cup,Paris,France,False
2022-04-29,Peru,Iraq,2,0,African Cup of Nations,Peru City,Peru,False
2022-05-01,Uruguay,Iran,2,0,AFC Asian Cup,Uruguay City,Uruguay,True
2022-05-02,Germany,Ghana,3,1,AFC Asian Cup,Doha,Qatar,False
2022-05-06,Paraguay,Uzbekistan,3,0,Friendly,Paraguay City,Paraguay,False
2022-05-08,Colombia,Saudi Arabia,1,0,UEFA Nations League,Colombia City,Colombia,True
2022-05-09,Netherlands,Cameroon,1,1,UEFA Nations League,Netherlands City,Netherlands,False
2022-05-13,Costa Rica,Denmark,0,0,FIFA World Cup qualification,Costa Rica City,Costa Rica,True
2022-05-14,Canada,Sweden,2,0,UEFA Nations League,Canada City,Canada,False
2022-05-15,Ecuador,Australia,0,1,African Cup of Nations,Doha,Qatar,False
2022-05-16,Belgium,Algeria,2,0,Copa America,Belgium City,Belgium,True
2022-05-21,Mexico,Norway,1,0,CONCACAF Gold Cup,Mexico City,Mexico,True
2022-05-22,England,Qatar,3,1,FIFA World Cup qualification,London,England,True
2022-05-23,Croatia,Japan,3,0,African Cup of Nations,Doha,Qatar,False
2022-05-28,United States,Poland,2,0,UEFA Nations League,Los Angeles,United States,True
2022-05-29,Scotland,Iraq,0,1,UEFA Nations League,Scotland City,Scotland,False
2022-05-30,Spain,South Korea,0,0,AFC Asian Cup,Spain City,Spain,False
2022-06-04,Argentina,Austria,1,0,CONCACAF Gold Cup,Buenos Aires,Argentina,True
2022-06-05,Wales,Uzbekistan,1,1,UEFA Nations League,Doha,Qatar,False
2022-06-06,Portugal,Iran,0,1,African Cup of Nations,Doha,Qatar,True
2022-06-11,Brazil,Serbia,1,2,FIFA World Cup qualification,Rio de Janeiro,Brazil,False
2022-06-12,France,Denmark,1,2,AFC Asian Cup,Paris,France,True
2022-06-13,Italy,Saudi Arabia,2,1,FIFA World Cup qualification,Italy City,Italy,False
2022-06-18,Uruguay,Turkey,3,0,UEFA Nations League,Uruguay City,Uruguay,False
2022-06-19,Germany,Sweden,2,0,UEFA Nations League,Germany City,Germany,False
2022-06-20,Switzerland,Australia,0,0,FIFA World Cup qualification,Doha,Qatar,True
2022-06-25,Colombia,Czech Republic,2,1,AFC Asian Cup,Colombia City,Colombia,True
2022-06-26,Netherlands,Norway,1,1,AFC Asian Cup,Netherlands City,Netherlands,False
2022-06-27,Morocco,Qatar,1,0,Friendly,Doha,Qatar,True
2022-07-02,Ecuador,Chile,4,0,AFC Asian Cup,Ecuador City,Ecuador,False
2022-07-03,Belgium,Poland,1,0,Friendly,Doha,Qatar,False
2022-07-04,Senegal,Iraq,2,1,FIFA World Cup qualification,Doha,Qatar,True
2022-07-09,England,Peru,4,0,Friendly,London,England,False
2022-07-10,Croatia,Austria,0,0,Copa America,Croatia City,Croatia,False
2022-07-11,Tunisia,Uzbekistan,3,0,AFC Asian Cup,Tunisia City,Tunisia,False
2022-07-16,Scotland,Paraguay,0,2,UEFA Nations League,Scotland City,Scotland,False
2022-07-17,Spain,Serbia,0,0,African Cup of Nations,Doha,Qatar,False
2022-07-18,Egypt,Denmark,0,1,AFC Asian Cup,Egypt City,Egypt,False
2022-07-23,Wales,Costa Rica,2,0,Copa America,Wales City,Wales,False
2022-07-24,Portugal,Turkey,1,1,AFC Asian Cup,Portugal City,Portugal,False
2022-07-25,Nigeria,Sweden,0,0,AFC Asian Cup,Nigeria City,Nigeria,False
2022-07-30,France,Canada,1,0,FIFA World Cup qualification,Paris,France,False
2022-07-31,Italy,Czech Republic,1,0,Copa America,Italy City,Italy,True
2022-08-01,Ghana,Norway,1,1,African Cup of Nations,Ghana City,Ghana,False
2022-08-06,Germany,Mexico,1,1,CONCACAF Gold Cup,Germany City,Germany,False
2022-08-07,Switzerland,Chile,0,0,CONCACAF Gold Cup,Switzerland City,Switzerland,False
2022-08-08,Cameroon,Poland,1,1,Friendly,Doha,Qatar,True
2022-08-13,Netherlands,United States,2,0,UEFA Nations League,Netherlands City,Netherlands,True
2022-08-14,Morocco,Peru,2,0,FIFA World Cup qualification,Morocco City,Morocco,False
2022-08-15,Algeria,Austria,0,1,CONCACAF Gold Cup,Algeria City,Algeria,False
2022-08-20,Belgium,Argentina,1,0,FIFA World Cup qualification,Belgium City,Belgium,False
2022-08-21,Senegal,Paraguay,3,0,CONCACAF Gold Cup,Senegal City,Senegal,True
2022-08-22,Japan,Serbia,0,0,FIFA World Cup qualification,Doha,Qatar,False
2022-08-27,Croatia,Brazil,1,0,African Cup of Nations,Croatia City,Croatia,False
2022-08-28,Tunisia,Costa Rica,2,0,African Cup of Nations,Tunisia City,Tunisia,False
2022-08-29,South Korea,Turkey,0,1,Friendly,South Korea City,South Korea,False
2022-09-03,Spain,Uruguay,1,0,Friendly,Spain City,Spain,False
2022-09-04,Egypt,Canada,2,0,AFC Asian Cup,Egypt City,Egypt,True
2022-09-05,Iran,Czech Republic,2,0,UEFA Nations League,Iran City,Iran,False
2022-09-10,Portugal,Colombia,0,0,FIFA World Cup qualification,Doha,Qatar,False
2022-09-11,Nigeria,Mexico,0,1,AFC Asian Cup,Nigeria City,Nigeria,False
2022-09-12,Saudi Arabia,Chile,1,0,AFC Asian Cup,Saudi Arabia City,Saudi Arabia,False
2022-09-17,Italy,Ecuador,2,0,Friendly,Doha,Qatar,False
2022-09-18,Ghana,United States,0,1,African Cup of Nations,Doha,Qatar,True
2022-09-19,Australia,Peru,1,0,UEFA Nations League,Doha,Qatar,False
2022-09-24,Switzerland,England,0,2,African Cup of Nations,Switzerland City,Switzerland,False
2022-09-25,Cameroon,Argentina,0,2,FIFA World Cup qualification,Cameroon City,Cameroon,False
2022-09-26,Qatar,Paraguay,1,0,CONCACAF Gold Cup,Qatar City,Qatar,False
2022-10-01,Morocco,Scotland,0,1,CONCACAF Gold Cup,Morocco City,Morocco,True
2022-10-02,Algeria,Brazil,0,0,FIFA World Cup qualification,Algeria City,Algeria,True
2022-10-03,Iraq,Costa Rica,3,0,African Cup of Nations,Iraq City,Iraq,False
2022-10-08,Senegal,Wales,1,0,UEFA Nations League,Doha,Qatar,False
2022-10-09,Japan,Uruguay,1,1,Copa America,Japan City,Japan,True
2022-10-10,Uzbekistan,Canada,0,0,UEFA Nations League,Uzbekistan City,Uzbekistan,True
2022-10-15,Tunisia,France,1,0,AFC Asian Cup,Doha,Qatar,True
2022-10-16,South Korea,Colombia,1,1,Copa America,South Korea City,South Korea,False
2022-10-17,Denmark,Mexico,0,0,Copa America,Denmark City,Denmark,False
2022-10-22,Egypt,Germany,0,1,African Cup of Nations,Egypt City,Egypt,False
2022-10-23,Iran,Ecuador,1,1,AFC Asian Cup,Doha,Qatar,False
2022-10-24,Sweden,United States,1,2,FIFA World Cup qualification,Sweden City,Sweden,False
2022-10-29,Nigeria,Netherlands,1,1,Friendly,Nigeria City,Nigeria,False
2022-10-30,Saudi Arabia,England,0,3,Friendly,Saudi Arabia City,Saudi Arabia,False
2022-10-31,Norway,Argentina,1,1,Friendly,Norway City,Norway,False
2022-11-05,Ghana,Belgium,0,1,CONCACAF Gold Cup,Ghana City,Ghana,False
2022-11-06,Australia,Scotland,1,0,African Cup of Nations,Australia City,Australia,False
2022-11-07,Poland,Brazil,1,2,CONCACAF Gold Cup,Poland City,Poland,False
2022-11-12,Cameroon,Croatia,2,0,African Cup of Nations,Cameroon City,Cameroon,False
2022-11-13,Qatar,Wales,1,1,UEFA Nations League,Qatar City,Qatar,False
2022-11-14,Austria,Uruguay,2,0,African Cup of Nations,Austria City,Austria,False
2022-11-19,Algeria,Spain,0,0,UEFA Nations League,Doha,Qatar,False
2022-11-20,Iraq,France,0,1,UEFA Nations League,Iraq City,Iraq,False
2022-11-21,Serbia,Colombia,0,0,FIFA World Cup qualification,Serbia City,Serbia,True
2022-11-26,Japan,Portugal,0,1,Friendly,Doha,Qatar,False
2022-11-27,Uzbekistan,Germany,0,2,Copa America,Uzbekistan City,Uzbekistan,False
2022-11-27,Spain,Germany,1,1,FIFA World Cup,Al Khor,Qatar,True
2022-11-28,Turkey,Ecuador,0,1,FIFA World Cup qualification,Doha,Qatar,True
2022-12-03,South Korea,Italy,0,0,Copa America,Doha,Qatar,True
2022-12-04,Denmark,Netherlands,0,1,African Cup of Nations,Doha,Qatar,False
2022-12-05,Czech Republic,England,0,2,UEFA Nations League,Czech Republic City,Czech Republic,False
2022-12-10,England,France,1,2,FIFA World Cup,Al Khor,Qatar,True
2022-12-18,Argentina,France,3,3,FIFA World Cup,Lusail,Qatar,True
2023-01-14,Iran,Morocco,1,0,UEFA Nations League,Doha,Qatar,False
2023-01-15,Sweden,Croatia,0,2,African Cup of Nations,Doha,Qatar,False
2023-01-16,Chile,Wales,0,0,FIFA World Cup qualification,Chile City,Chile,True
2023-01-21,Saudi Arabia,Senegal,1,1,Friendly,Saudi Arabia City,Saudi Arabia,False
2023-01-22,Norway,Spain,2,1,Friendly,Doha,Qatar,False
2023-01-23,Peru,France,0,1,UEFA Nations League,Peru City,Peru,True
2023-01-28,Australia,Tunisia,2,1,CONCACAF Gold Cup,Australia City,Australia,False
2023-01-29,Poland,Portugal,0,1,CONCACAF Gold Cup,Poland City,Poland,False
2023-01-30,Paraguay,Germany,0,2,Friendly,Paraguay City,Paraguay,True
2023-02-04,Qatar,Egypt,0,0,African Cup of Nations,Qatar City,Qatar,True
